Sentence,Type,Terjemahan
"Ali, who was two at the time, loved the story about the little girl who lived in a teeny, weeny house and played with itty, bitty toys.",Auditory,"Ali, yang saat itu berusia dua tahun, menyukai cerita tentang gadis kecil yang tinggal di rumah mungil dan bermain dengan mainan mungil."
"Look at my dad, spiffed up in jodhpurs, ready to ride that bay mare he loved.",Auditory,"Lihatlah ayahku, yang mengenakan jodhpur, siap menunggangi kuda betina yang dicintainya."
Believe me it's far more difficult to know what to say to an unconscious loved one than the movies make out.,Auditory,"Percayalah, mengetahui apa yang harus dikatakan kepada orang terkasih yang tidak sadarkan diri jauh lebih sulit daripada yang terlihat di film."
"The Surrealists loved bad movies, seeing them as subversive attacks on the tyranny of narrative form.",Auditory,"Kaum surealis menyukai film-film buruk, melihatnya sebagai serangan subversif terhadap tirani bentuk naratif."
"He idolised prize-fighters, regarded racketeers as his friends and loved money though he had difficulty holding on to it.",Auditory,"Dia mengidolakan para petarung hadiah, menganggap pemeras sebagai temannya dan menyukai uang meskipun dia kesulitan mempertahankannya."
"I'm sure my neighbours must have loved me, since the noise it made could delicately be called an absolute racket.",Auditory,"Aku yakin tetanggaku pasti menyayangiku, karena kebisingan yang ditimbulkannya bisa disebut sebagai kegaduhan mutlak."
Our lads take it very seriously and we'd have loved to win but it wasn't to be.,Auditory,"Para pemain kami menanggapinya dengan sangat serius dan kami ingin sekali menang, namun ternyata tidak terjadi."
"I loved the Reverend's daughter, and I loved the sweet, sweet jive of rock and roll music.",Auditory,"Aku mencintai putri Pendeta, dan aku menyukai musik rock and roll yang manis dan manis."
"She loved them for their mortality, for their casual acceptance of the dark, and for their quotidian lives, so unlike her own.",Auditory,"Dia mencintai mereka karena kefanaan mereka, karena penerimaan mereka terhadap kegelapan, dan karena kehidupan sehari-hari mereka, sangat berbeda dengan kehidupannya."
I loved the way that the stage just transformed itself with quivering strands of material.,Auditory,Saya menyukai cara panggung bertransformasi dengan helaian material yang bergetar.
"Jenny loved the look of the school house and began imagining her new life in its charming, quirky interior.",Auditory,Jenny menyukai tampilan rumah sekolah dan mulai membayangkan kehidupan barunya dalam interiornya yang menawan dan unik.
"I don't doubt that my husband loved me, but I also know that I was a trophy in some ways.",Auditory,"Aku tidak meragukan suamiku mencintaiku, tapi aku juga tahu bahwa aku adalah sebuah piala dalam beberapa hal."
A new survey reveals that less than a quarter of people wait on the platform to wave their loved one farewell until the train has pulled out.,Auditory,Sebuah survei baru mengungkapkan bahwa kurang dari seperempat orang menunggu di peron untuk mengucapkan selamat tinggal kepada orang yang mereka cintai sampai kereta berangkat.
There is intense sibling jealousy and she feels she is not loved as much as the youngest child.,Auditory,Ada rasa cemburu antar saudara yang sangat kuat dan dia merasa tidak dicintai seperti anak bungsunya.
"She was a dynamic, passionate, and caring woman, who loved drama and literature as much as medicine.",Auditory,"Dia adalah seorang wanita yang dinamis, bersemangat, dan penuh perhatian, yang menyukai drama dan sastra seperti halnya kedokteran."
There are no quick fixes for the grief and anguish after the death of a loved one.,Auditory,Tidak ada solusi instan untuk kesedihan dan penderitaan setelah kematian orang yang dicintai.
"Among waterfowl, the Canada Goose is the least loved, especially by golfers.",Auditory,"Di antara unggas air, Angsa Kanada adalah yang paling tidak disukai, terutama oleh para pegolf."
Those nutters in the square loved every minute of it and even cheered when the water cannon returned.,Auditory,Orang-orang gila di alun-alun menyukai setiap menitnya dan bahkan bersorak ketika meriam air kembali.
I have stopped wearing watches because time is really painful when you don't have your loved ones with you.,Auditory,Saya berhenti memakai jam tangan karena waktu sungguh menyakitkan ketika Anda tidak bersama orang yang Anda cintai.
"I don't like jewelry or make up, but I loved buying chains that accessorize my clothing.",Auditory,"Saya tidak suka perhiasan atau riasan, tapi saya suka membeli rantai yang melengkapi pakaian saya."
It is one of the world's most well loved ballets and is easily accessible to those whose knowledge of classical ballet is only limited.,Auditory,Ini adalah salah satu balet yang paling disukai di dunia dan mudah diakses oleh mereka yang pengetahuannya tentang balet klasik terbatas.
"The young children in the war-torn city loved to paint and were always ready to learn, she said.",Auditory,"Anak-anak kecil di kota yang dilanda perang itu suka melukis dan selalu siap untuk belajar, katanya."
The crew of two Royal Navy warships returned home from the war in Iraq yesterday to a noisy reception from loved ones.,Auditory,Awak dua kapal perang Angkatan Laut Kerajaan kembali ke rumah dari perang di Irak kemarin dan mendapat sambutan riuh dari orang-orang terkasih.
Generous and warm-hearted you like to shower your loved one with affection and are very demonstrative and affectionate.,Auditory,"Murah hati dan berhati hangat, Anda suka menghujani orang yang Anda cintai dengan kasih sayang dan sangat demonstratif serta penuh kasih sayang."
But then Miller began taking more traditional academic courses and found he loved being a college student.,Auditory,Namun kemudian Miller mulai mengambil kursus akademik yang lebih tradisional dan menyadari bahwa ia senang menjadi seorang mahasiswa.
You are generous and loving in personal and family relationships and spend quality time with loved ones.,Auditory,Anda murah hati dan penuh kasih sayang dalam hubungan pribadi dan keluarga serta menghabiskan waktu berkualitas bersama orang-orang terkasih.
"The warden announced that the execution could begin, and I told him that I loved him.",Auditory,"Kepala penjara mengumumkan bahwa eksekusi dapat dimulai, dan saya mengatakan kepadanya bahwa saya mencintainya."
I saw children who had been repeatedly abused by loved ones or people in authority.,Auditory,Saya melihat anak-anak yang berulang kali dianiaya oleh orang yang saya cintai atau orang yang berkuasa.
